,lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value
0,dem60,~,ind60,1.4823793273463535,0.44675135798023646,0.39902352959721704,3.7150173295268685,0.0002031897688157258
1,dem65,~,ind60,0.5719119791742069,0.18217799933650156,0.22138267470408993,2.5833637611256925,0.009784210152006256
2,dem65,~,dem60,0.8375742008340163,0.8852857940678462,0.09844558409958741,8.507991582214794,0.0
3,x1,~,ind60,1.0,0.9198143795508156,-,-,-
4,x2,~,ind60,2.180493531276984,0.9730099528817672,0.13856497088322758,15.736253667594013,0.0
5,x3,~,ind60,1.8185462672216992,0.8721089411581869,0.1519932724208915,11.964649739061576,0.0
6,y1,~,dem60,1.0,0.8501925906110269,-,-,-
7,y2,~,dem60,1.2568191245751623,0.7166278274621856,0.18268657043714717,6.87964704554289,6.000089314284196e-12
8,y3,~,dem60,1.058173702222602,0.7223081351801093,0.1515205169248628,6.983699129936007,2.8750335445693054e-12
9,y4,~,dem60,1.2651859345209884,0.8456325287412593,0.14515098531657708,8.716344100268264,0.0
10,y5,~,dem65,1.0,0.8078423776072657,-,-,-
11,y6,~,dem65,1.1857426095674535,0.7458662844639301,0.168908426490654,7.020032299134837,2.2182256032010628e-12
12,y7,~,dem65,1.2797166037612473,0.8236551059486208,0.15999637938877567,7.998409768033948,1.3322676295501878e-15
13,y8,~,dem65,1.2660839186804267,0.8276666169877523,0.15823791610091095,8.001141255329872,1.3322676295501878e-15
14,dem60,~~,dem60,3.9508485516902976,0.8004132241428148,0.9204511871208253,4.29229556870286,1.7683533737100632e-05
15,dem65,~~,dem65,0.1722100022516373,0.03897648339276012,0.21486137981154177,0.8014935136406731,0.42284599765594333
16,ind60,~~,ind60,0.4483211108782591,1.0000000000000002,0.08667657111907216,5.172344788042024,2.311745070926463e-07
17,y1,~~,y5,0.6244230440460632,0.09183472847147145,0.3584346831584103,1.7420832117642957,0.08149388477271424
18,y1,~~,y1,1.8927433393283444,0.2771725588701106,0.444560066133171,4.257564913077691,2.0666566269200715e-05
19,y2,~~,y4,1.3195885161743093,0.10188508537298441,0.7026800418142728,1.877936525371266,0.06038984895051147
20,y2,~~,y6,2.1561641994218737,0.1655988608350432,0.7341547979735403,2.9369340163280486,0.0033147462392510985
21,y2,~~,y2,7.385292484575327,0.4864445569068278,1.3756712880475201,5.368500853900824,7.939381529986633e-08
22,y3,~~,y7,0.7933287889804564,0.07463360568287931,0.6076424004893066,1.305584976197052,0.1916937321850556
23,y3,~~,y3,5.066628395349593,0.4782709578526328,0.951721594754884,5.3236455106907385,1.0170802222653208e-07
24,y4,~~,y8,0.3472215099112816,0.03248710182974965,0.44223362652528386,0.7851540205992109,0.4323632699871074
25,y4,~~,y4,3.1479114102584265,0.28490562633466326,0.7388414278098397,4.260604903525204,2.038743614996008e-05
26,y6,~~,y8,1.3570367102510037,0.12629884311613368,0.5685001788667092,2.3870471121993933,0.016984314598792682
27,y6,~~,y6,4.954363694745673,0.44368348569997185,0.9142844355621508,5.4188428699369116,5.998600838275081e-08
28,x1,~~,x1,0.08157264313333425,0.15394150717154811,0.019494854679121074,4.184316552844786,2.8602531370935935e-05
29,x2,~~,x2,0.11989391682070541,0.053251631593021154,0.0697473986509583,1.7189733113772427,0.08561923168267427
30,y5,~~,y5,2.351909657420013,0.3473906929418397,0.48036936897432303,4.896044188739338,9.778508662794394e-07
31,y7,~~,y7,3.430031713510493,0.3215922664447664,0.7127321402805507,4.812511629060992,1.4904519700653651e-06
32,y8,~~,y8,3.2563885582769188,0.3149679711240494,0.6950398563944595,4.6851824802750865,2.79710612804962e-06
33,x3,~~,x3,0.4667321545080118,0.23942599475194595,0.09016756135838391,5.1762756746602205,2.2635892160671744e-07
